"district","year","season","soil_type","top_crops","confidence_scores"
"Mukono","2016","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.888|0.838|0.798|0.758|0.708|0.668"
"Mukono","2017","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.891|0.841|0.801|0.761|0.711|0.671"
"Mukono","2018","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.894|0.844|0.804|0.764|0.714|0.674"
"Mukono","2019","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.897|0.847|0.807|0.767|0.717|0.677"
"Mukono","2020","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.9|0.85|0.81|0.77|0.72|0.68"
"Mukono","2021","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.903|0.853|0.813|0.773|0.723|0.683"
"Mukono","2022","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.906|0.856|0.816|0.776|0.726|0.686"
"Mukono","2023","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.909|0.859|0.819|0.779|0.729|0.689"
"Mukono","2024","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.912|0.862|0.822|0.782|0.732|0.692"
"Mukono","2025","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.915|0.865|0.825|0.785|0.735|0.695"
"Wakiso","2015","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.885|0.835|0.795|0.755|0.715|0.675"
"Wakiso","2016","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.888|0.838|0.798|0.758|0.718|0.678"
"Wakiso","2017","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.891|0.841|0.801|0.761|0.721|0.681"
"Wakiso","2018","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.894|0.844|0.804|0.764|0.724|0.684"
"Wakiso","2019","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.897|0.847|0.807|0.767|0.727|0.687"
"Wakiso","2020","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.9|0.85|0.81|0.77|0.73|0.69"
"Wakiso","2021","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.903|0.853|0.813|0.773|0.733|0.693"
"Wakiso","2022","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.906|0.856|0.816|0.776|0.736|0.696"
"Wakiso","2023","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.909|0.859|0.819|0.779|0.739|0.699"
"Wakiso","2024","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.912|0.862|0.822|0.782|0.742|0.702"
"Wakiso","2025","First","Loam","Maize|Beans|Banana|Cassava|Tomatoes|Onions","0.915|0.865|0.825|0.785|0.745|0.705"
"Wakiso","2015","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.875|0.825|0.775|0.735|0.705|0.655"
"Wakiso","2016","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.878|0.828|0.778|0.738|0.708|0.658"
"Wakiso","2017","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.881|0.831|0.781|0.741|0.711|0.661"
"Wakiso","2018","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.884|0.834|0.784|0.744|0.714|0.664"
"Wakiso","2019","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.887|0.837|0.787|0.747|0.717|0.667"
"Wakiso","2020","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.89|0.84|0.79|0.75|0.72|0.67"
"Wakiso","2021","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.893|0.843|0.793|0.753|0.723|0.673"
"Wakiso","2022","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.896|0.846|0.796|0.756|0.726|0.676"
"Wakiso","2023","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.899|0.849|0.799|0.759|0.729|0.679"
"Wakiso","2024","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.902|0.852|0.802|0.762|0.732|0.682"
"Wakiso","2025","Second","Loam","Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts","0.905|0.855|0.805|0.765|0.735|0.685"
"Masaka","2015","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.895|0.845|0.805|0.765|0.725|0.685"
"Masaka","2016","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.898|0.848|0.808|0.768|0.728|0.688"
"Masaka","2017","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.901|0.851|0.811|0.771|0.731|0.691"
"Masaka","2018","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.904|0.854|0.814|0.774|0.734|0.694"
"Masaka","2019","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.907|0.857|0.817|0.777|0.737|0.697"
"Masaka","2020","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.91|0.86|0.82|0.78|0.74|0.7"
"Masaka","2021","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.913|0.863|0.823|0.783|0.743|0.703"
"Masaka","2022","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.916|0.866|0.826|0.786|0.746|0.706"
"Masaka","2023","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.919|0.869|0.829|0.789|0.749|0.709"
"Masaka","2024","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.922|0.872|0.832|0.792|0.752|0.712"
"Masaka","2025","First","Sandy Loam","Maize|Beans|Banana|Groundnuts|Coffee|Cassava","0.925|0.875|0.835|0.795|0.755|0.715"
"Masaka","2015","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.885|0.835|0.785|0.745|0.705|0.665"
"Masaka","2016","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.888|0.838|0.788|0.748|0.708|0.668"
"Masaka","2017","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.891|0.841|0.791|0.751|0.711|0.671"
"Masaka","2018","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.894|0.844|0.794|0.754|0.714|0.674"
"Masaka","2019","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.897|0.847|0.797|0.757|0.717|0.677"
"Masaka","2020","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.9|0.85|0.8|0.76|0.72|0.68"
"Masaka","2021","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.903|0.853|0.803|0.763|0.723|0.683"
"Masaka","2022","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.906|0.856|0.806|0.766|0.726|0.686"
"Masaka","2023","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.909|0.859|0.809|0.769|0.729|0.689"
"Masaka","2024","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.912|0.862|0.812|0.772|0.732|0.692"
"Masaka","2025","Second","Sandy Loam","Beans|Maize|Cassava|Banana|Groundnuts|Soybeans","0.915|0.865|0.815|0.775|0.735|0.695"
"Mbarara","2015","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.885|0.845|0.805|0.765|0.725|0.695"
"Mbarara","2016","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.888|0.848|0.808|0.768|0.728|0.698"
"Mbarara","2017","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.891|0.851|0.811|0.771|0.731|0.701"
"Mbarara","2018","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.894|0.854|0.814|0.774|0.734|0.704"
"Mbarara","2019","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.897|0.857|0.817|0.777|0.737|0.707"
"Mbarara","2020","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.9|0.86|0.82|0.78|0.74|0.71"
"Mbarara","2021","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.903|0.863|0.823|0.783|0.743|0.713"
"Mbarara","2022","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.906|0.866|0.826|0.786|0.746|0.716"
"Mbarara","2023","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.909|0.869|0.829|0.789|0.749|0.719"
"Mbarara","2024","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.912|0.872|0.832|0.792|0.752|0.722"
"Mbarara","2025","First","Loam","Maize|Beans|Banana|Coffee|Groundnuts|Millet","0.915|0.875|0.835|0.795|0.755|0.725"
"Mbarara","2015","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.875|0.825|0.785|0.745|0.705|0.675"
"Mbarara","2016","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.878|0.828|0.788|0.748|0.708|0.678"
"Mbarara","2017","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.881|0.831|0.791|0.751|0.711|0.681"
"Mbarara","2018","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.884|0.834|0.794|0.754|0.714|0.684"
"Mbarara","2019","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.887|0.837|0.797|0.757|0.717|0.687"
"Mbarara","2020","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.89|0.84|0.8|0.76|0.72|0.69"
"Mbarara","2021","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.893|0.843|0.803|0.763|0.723|0.693"
"Mbarara","2022","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.896|0.846|0.806|0.766|0.726|0.696"
"Mbarara","2023","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.899|0.849|0.809|0.769|0.729|0.699"
"Mbarara","2024","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.902|0.852|0.812|0.772|0.732|0.702"
"Mbarara","2025","Second","Loam","Beans|Maize|Banana|Millet|Sorghum|Groundnuts","0.905|0.855|0.815|0.775|0.735|0.705"
"Gulu","2015","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.895|0.845|0.805|0.765|0.735|0.685"
"Gulu","2016","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.898|0.848|0.808|0.768|0.738|0.688"
"Gulu","2017","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.901|0.851|0.811|0.771|0.741|0.691"
"Gulu","2018","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.904|0.854|0.814|0.774|0.744|0.694"
"Gulu","2019","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.907|0.857|0.817|0.777|0.747|0.697"
"Gulu","2020","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.91|0.86|0.82|0.78|0.75|0.7"
"Gulu","2021","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.913|0.863|0.823|0.783|0.753|0.703"
"Gulu","2022","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.916|0.866|0.826|0.786|0.756|0.706"
"Gulu","2023","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.919|0.869|0.829|0.789|0.759|0.709"
"Gulu","2024","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.922|0.872|0.832|0.792|0.762|0.712"
"Gulu","2025","First","Sandy Loam","Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower","0.925|0.875|0.835|0.795|0.765|0.715"
"Gulu","2015","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.885|0.835|0.795|0.755|0.715|0.675"
"Gulu","2016","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.888|0.838|0.798|0.758|0.718|0.678"
"Gulu","2017","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.891|0.841|0.801|0.761|0.721|0.681"
"Gulu","2018","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.894|0.844|0.804|0.764|0.724|0.684"
"Gulu","2019","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.897|0.847|0.807|0.767|0.727|0.687"
"Gulu","2020","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.9|0.85|0.81|0.77|0.73|0.69"
"Gulu","2021","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.903|0.853|0.813|0.773|0.733|0.693"
"Gulu","2022","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.906|0.856|0.816|0.776|0.736|0.696"
"Gulu","2023","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.909|0.859|0.819|0.779|0.739|0.699"
"Gulu","2024","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.912|0.862|0.822|0.782|0.742|0.702"
"Gulu","2025","Second","Sandy Loam","Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower","0.915|0.865|0.825|0.785|0.745|0.705"
"Arua","2015","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.905|0.855|0.815|0.775|0.735|0.695"
"Arua","2016","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.908|0.858|0.818|0.778|0.738|0.698"
"Arua","2017","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.911|0.861|0.821|0.781|0.741|0.701"
"Arua","2018","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.914|0.864|0.824|0.784|0.744|0.704"
"Arua","2019","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.917|0.867|0.827|0.787|0.747|0.707"
"Arua","2020","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.92|0.87|0.83|0.79|0.75|0.71"
"Arua","2021","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.923|0.873|0.833|0.793|0.753|0.713"
"Arua","2022","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.926|0.876|0.836|0.796|0.756|0.716"
"Arua","2023","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.929|0.879|0.839|0.799|0.759|0.719"
"Arua","2024","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.932|0.882|0.842|0.802|0.762|0.722"
"Arua","2025","First","Sandy Loam","Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum","0.935|0.885|0.845|0.805|0.765|0.725"
"Arua","2015","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.895|0.845|0.805|0.765|0.725|0.685"
"Arua","2016","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.898|0.848|0.808|0.768|0.728|0.688"
"Arua","2017","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.901|0.851|0.811|0.771|0.731|0.691"
"Arua","2018","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.904|0.854|0.814|0.774|0.734|0.694"
"Arua","2019","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.907|0.857|0.817|0.777|0.737|0.697"
"Arua","2020","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.91|0.86|0.82|0.78|0.74|0.7"
"Arua","2021","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.913|0.863|0.823|0.783|0.743|0.703"
"Arua","2022","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.916|0.866|0.826|0.786|0.746|0.706"
"Arua","2023","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.919|0.869|0.829|0.789|0.749|0.709"
"Arua","2024","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.922|0.872|0.832|0.792|0.752|0.712"
"Arua","2025","Second","Sandy Loam","Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans","0.925|0.875|0.835|0.795|0.755|0.715"
"Mbale","2015","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.905|0.865|0.815|0.775|0.735|0.695"
"Mbale","2016","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.908|0.868|0.818|0.778|0.738|0.698"
"Mbale","2017","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.911|0.871|0.821|0.781|0.741|0.701"
"Mbale","2018","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.914|0.874|0.824|0.784|0.744|0.704"
"Mbale","2019","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.917|0.877|0.827|0.787|0.747|0.707"
"Mbale","2020","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.92|0.88|0.83|0.79|0.75|0.71"
"Mbale","2021","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.923|0.883|0.833|0.793|0.753|0.713"
"Mbale","2022","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.926|0.886|0.836|0.796|0.756|0.716"
"Mbale","2023","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.929|0.889|0.839|0.799|0.759|0.719"
"Mbale","2024","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.932|0.892|0.842|0.802|0.762|0.722"
"Mbale","2025","First","Clay Loam","Maize|Beans|Irish Potatoes|Banana|Coffee|Rice","0.935|0.895|0.845|0.805|0.765|0.725"
"Mbale","2015","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.885|0.845|0.795|0.755|0.715|0.675"
"Mbale","2016","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.888|0.848|0.798|0.758|0.718|0.678"
"Mbale","2017","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.891|0.851|0.801|0.761|0.721|0.681"
"Mbale","2018","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.894|0.854|0.804|0.764|0.724|0.684"
"Mbale","2019","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.897|0.857|0.807|0.767|0.727|0.687"
"Mbale","2020","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.9|0.86|0.81|0.77|0.73|0.69"
"Mbale","2021","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.903|0.863|0.813|0.773|0.733|0.693"
"Mbale","2022","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.906|0.866|0.816|0.776|0.736|0.696"
"Mbale","2023","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.909|0.869|0.819|0.779|0.739|0.699"
"Mbale","2024","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.912|0.872|0.822|0.782|0.742|0.702"
"Mbale","2025","Second","Clay Loam","Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes","0.915|0.875|0.825|0.785|0.745|0.705"
"Soroti","2015","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.915|0.865|0.815|0.775|0.725|0.685"
"Soroti","2016","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.918|0.868|0.818|0.778|0.728|0.688"
"Soroti","2017","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.921|0.871|0.821|0.781|0.731|0.691"
"Soroti","2018","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.924|0.874|0.824|0.784|0.734|0.694"
"Soroti","2019","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.927|0.877|0.827|0.787|0.737|0.697"
"Soroti","2020","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.93|0.88|0.83|0.79|0.74|0.7"
"Soroti","2021","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.933|0.883|0.833|0.793|0.743|0.703"
"Soroti","2022","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.936|0.886|0.836|0.796|0.746|0.706"
"Soroti","2023","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.939|0.889|0.839|0.799|0.749|0.709"
"Soroti","2024","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.942|0.892|0.842|0.802|0.752|0.712"
"Soroti","2025","First","Sandy","Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava","0.945|0.895|0.845|0.805|0.755|0.715"
"Soroti","2015","Second","Sandy","Sorghum|Millet|Groundnuts|Sunflower|Cassava|Sesame","0.895|0.845|0.795|0.755|0.715|0.675"
"Soroti","2016","Second","Sandy","Sorghum|Millet|Groundnuts|Sunflower|Cassava|Sesame","0.898|0.848|0.798|0.758|0.718|0.678"
"Soroti","2017","Second","Sandy","Sorghum|Millet|Groundnuts|Sunflower|Cassava|Sesame","0.901|0.851|0.801|0.761|0.721|0.681"
"Soroti","2018","Second","Sandy","Sorghum|Millet|Groundnuts|Sunflower|Cassava|Sesame","0.904|0.854|0.804|0.764|0.724|0.684"
